tahun,merk,tipe,tipe_truncated,jenis_mobil,is_convertible,is_coupe,is_fastback,is_hatchback,is_mpv,is_pickup,is_suv,is_sedan,is_truck,is_van,is_wagon,transmisi,km,lokasi,penjual,harga_asli,harga_imputed,imputation_source,harga
2013,Lexus,RX 270,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,127500.0,DKI Jakarta,Dealer,235000000.0,False,,235000000.0
2024,Toyota,Kijang Innova Zenix V HV Modellista (Non P,True,,0,0,0,0,0,0,0,0,0,0,0,Automatic,62500.0,DKI Jakarta,Dealer,400000000.0,False,,400000000.0
2015,Lexus,NX 200T,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,77500.0,DKI Jakarta,Dealer,365000000.0,False,,365000000.0
2024,Wuling,Air EV Long Range,True,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,22500.0,DKI Jakarta,Sales Agent,140000000.0,False,,140000000.0
2022,Honda,HR-V,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,32500.0,DKI Jakarta,Dealer,265000000.0,False,,265000000.0
2016,Mercedes-Benz,C200,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,32500.0,DKI Jakarta,Dealer,325000000.0,False,,325000000.0
2016,Toyota,Agya,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,107500.0,DKI Jakarta,Sales Agent,92500000.0,False,,92500000.0
2025,Toyota,Fortuner,False,,0,0,0,0,0,0,0,0,0,0,0,Automatic,7500.0,DKI Jakarta,Dealer,580000000.0,False,,580000000.0
2024,Toyota,Land Cruiser,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,12500.0,DKI Jakarta,Dealer,2145000000.0,False,,2145000000.0
2023,Toyota,Kijang Innova Zenix G (Premium Color),True,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,32500.0,DKI Jakarta,Dealer,310000000.0,False,,310000000.0
2022,Suzuki,Jimny,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,12500.0,Jawa Timur,Dealer,397000000.0,False,,397000000.0
2015,Honda,Jazz,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,97500.0,Banten,Broker,155000000.0,False,,155000000.0
2022,Toyota,Corolla Cross Hybrid,True,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,42500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2020,Suzuki,Ertiga,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,72500.0,DKI Jakarta,Sales Agent,186000000.0,False,,186000000.0
2018,Toyota,Kijang Innova,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,77500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2013,Honda,CR-V,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,72500.0,DKI Jakarta,Dealer,153000000.0,False,,153000000.0
2022,Suzuki,XL7,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,82500.0,DKI Jakarta,Sales Agent,219000000.0,False,,219000000.0
2020,Toyota,Rush,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,57500.0,Jawa Timur,Dealer,205000000.0,False,,205000000.0
2022,Toyota,Kijang Innova,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,82500.0,Banten,Dealer,,True,mean_by_jenis_mobil,284012562.0
2019,Honda,Civic,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,97500.0,Jawa Timur,Dealer,308000000.0,False,,308000000.0
2022,Hyundai,Creta Prime,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,57500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2023,Land Rover,Range Rover,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,7500.0,DKI Jakarta,Dealer,4950000000.0,False,,4950000000.0
2015,Toyota,Camry,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,142500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,471819265.0
2024,Toyota,Avanza,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,27500.0,Jawa Timur,Dealer,225000000.0,False,,225000000.0
2021,Toyota,Alphard,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,42500.0,DKI Jakarta,Dealer,730000000.0,False,,730000000.0
2023,Mazda,CX-5,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,22500.0,DKI Jakarta,Dealer,435000000.0,False,,435000000.0
2021,Toyota,Fortuner,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,47500.0,Jawa Timur,Dealer,455000000.0,False,,455000000.0
2016,Daihatsu,Terios,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,47500.0,DKI Jakarta,Dealer,155000000.0,False,,155000000.0
2025,BYD,Atto 1 Long Range Premium,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,7500.0,DKI Jakarta,Dealer,210000000.0,False,,210000000.0
