"listing__rating-model","item","item 2","item 3","item 4","ellipsize","listing__excerpt","listing__price"
"Mazda CX-5","70 - 75K KM","Automatic","Banten","Dealer","2016 Mazda CX-5 2.5 Grand Touring (Soul Red) SUV - ODO 73R...","MAZDA CX5 2.5 GT SOULRED 2016 - Harga Khusus Credit - TDP Cukup 5Jt Saja - Cicilan ...","Rp 190.000.000"
"Mitsubishi Pajero Sport","155 - 160K KM","Automatic","DKI Jakarta","Sales Agent","2015 Mitsubishi Pajero Sport 2.5 Dakar 4X2 SUV - Dp 7 Juta...","Mitsubishi Pajero Sport 2.5 AT Dakar 4X2 2015 Merah . OTR Kredit : 239 Juta Harga Cash : ...","Rp 239.000.000"
"","75 - 80K KM","Automatic","Jawa Timur","Dealer","2023 Toyota Yaris Cross 1.5 S HV (2 Tone) with GR Parts Ae...","TOYOTA YARIS CROSS 1.5 S GR HYBRID 2023 Deskripsi Unit: Model: Yaris Cross Tipe S GR ...","Rp 320.000.000"
"Toyota Alphard","65 - 70K KM","Automatic","Jawa Timur","Dealer","2021 Toyota Alphard 2.5 G MPV","Toyota ALPHARD G 2.5 TSS AT TH 2021 Km 75ribu Istimewa Body mulus Mesin kering Terawat ...",""
"Honda Mobilio","90 - 95K KM","Automatic","DKI Jakarta","Sales Agent","2021 Honda Mobilio 1.5 E MPV - Dp 7.5 Juta","""HONDA MOBILIO E CVT 1.5 AT 2021 ABU-ABU . OTR KREDIT : 155 JUTA HARGA CASH : DM / WA / ...","Rp 155.000.000"
"BMW 520i","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2023 BMW 520i 2.0 M Sport Sedan","BMW 520i M Sport NIK 2023 • ODO 7.96x miles • Pajak Mei 2027 • Plat B (GANJIL) Leather ...","Rp 755.000.000"
"Honda BR-V","45 - 50K KM","Automatic","DKI Jakarta","Sales Agent","2022 Honda BR-V 1.5 Prestige Honda Sensing SUV - Prestige ...","Promo *Mobil Bekas Berkualitas Tanpa Cemas*.. FORSALE 📌OTR 235Juta (OTR CASH BERBEDA) ...","Rp 235.000.000"
"Mazda CX-5","70 - 75K KM","Automatic","Banten","Dealer","2016 Mazda CX-5 2.5 Grand Touring (Soul Red) SUV - ODO 73R...","MAZDA CX5 2.5 GT SOULRED 2016 - Harga Khusus Credit - TDP Cukup 5Jt Saja - Cicilan ...","Rp 190.000.000"
"Mitsubishi Pajero Sport","155 - 160K KM","Automatic","DKI Jakarta","Sales Agent","2015 Mitsubishi Pajero Sport 2.5 Dakar 4X2 SUV - Dp 7 Juta...","Mitsubishi Pajero Sport 2.5 AT Dakar 4X2 2015 Merah . OTR Kredit : 239 Juta Harga Cash : ...","Rp 239.000.000"
"Honda CR-V","80 - 85K KM","Automatic","DKI Jakarta","Dealer","2013 Honda CR-V 2.4 Prestige SUV","•Crv 2.4 Prestige 2013• ▶️KHUSUS BUAT ANDA YANG MENCARI MOBIL BEKAS BERKUALITAS Otr ...","Rp 139.000.000"
"Toyota Kijang Innova","55 - 60K KM","Automatic","DKI Jakarta","Dealer","2021 Toyota Kijang Innova 2.4 Venturer MPV","TOYOTA INNOVA VENTURER 2.4 AT 2021 Spesifikasi Kendaraan : Warna : Putih Tranmisi : ...","Rp 405.000.000"
"MINI Countryman","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2023 MINI Countryman 1.5 Cooper SUV","MINI COOPER COUNTRYMAN 1.5 NIK 2023 • ODO 13.228 miles • Pajak Oktober • Nopol B (GANJIL) ...","Rp 598.000.000"
"","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2023 Lexus LM 350 3.5 7 Seater MPV","LEXUS LM350 7 SEATER NIK 2023 • KM 19.51x • Pajak Juli • Plat B (GANJIL) Leather seats ...","Rp 1.260.000.000"
"Lexus RX 270","125 - 130K KM","Automatic","DKI Jakarta","Dealer","2013 Lexus RX 270 2.7 SUV","Lexus RX270 ATPM 2013 Putih Nopil 3 Angka Ganjil Pajak Bln 11 Nama Perorangan Interior ...","Rp 235.000.000"
"","60 - 65K KM","Automatic","DKI Jakarta","Dealer","2024 Toyota Kijang Innova Zenix 2.0 V HV Modellista (Non P...","TOYOTA INNOVA ZENIX V HYBRID MODELISTA 2.0 AT 2024 Spesifikasi Kendaraan : Warna : Hitam ...","Rp 400.000.000"
"Lexus NX 200T","75 - 80K KM","Automatic","DKI Jakarta","Dealer","2015 Lexus NX 200T 2.0 F Sport SUV","LEXUS NX200t 2.0 FSPORT AT 2015 Spesifikasi Kendaraan : Warna : Abu-abu Tranmisi : ...","Rp 365.000.000"
"","20 - 25K KM","Automatic","DKI Jakarta","Sales Agent","2024 Wuling Air EV Long Range Hatchback - 0.0 Dp 20 Juta  ...","Wuling Air EV Long Range 300 KM AT 2024 Putih Spesifikasi: - Jarak Tempuh 300 KM (Full ...","Rp 140.000.000"
"Honda HR-V","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2022 Honda HR-V 1.5 E SUV","HONDA HRV 1.5 E SENSING CVT 2022 Spesifikasi Kendaraan : Warna : Hitam Tranmisi : ...","Rp 265.000.000"
"Mercedes-Benz C200","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2016 Mercedes-Benz C200 2.0 Avantgarde Sedan","MERCEDES-BENZ C200 AVANTGARDE AT 2016 Spesifikasi Kendaraan : Warna : Putih Tranmisi : ...","Rp 325.000.000"
"Toyota Agya","105 - 110K KM","Automatic","DKI Jakarta","Sales Agent","2016 Toyota Agya 1.0 TRD S Hatchback - Dp 9,5 Juta","Toyota Agya G TRD Sportivo 1.0 AT 2016 Hitam . OTR Kredit : 92,5 Juta Harga Cash : 102,5 ...","Rp 92.500.000"
"Toyota Fortuner","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2025 Toyota Fortuner 2.8 VRZ TSS GR Parts Aero Package (Pr...","Dijual Toyota Fortuner Legender 2.8 GR Aero Package 2025 Warna Putih 2Tone Tangan1 Dari ...","Rp 580.000.000"
"Toyota Land Cruiser","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2024 Toyota Land Cruiser 3.3 300 GR-S SUV","TOYOTA LC 300 GR-S NIK 2024 • KM 14.55x • Pajak Maret 2027 • Plat B (GENAP) Leather seats ...","Rp 2.145.000.000"
"","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Kijang Innova Zenix 2.0 G (Premium Color) MPV ...","Zenix G 2.0 CVT 2023 Putih Harga special khusus paket kredit: OTR : 310jt* TDP : ...","Rp 310.000.000"
"Suzuki Jimny","10 - 15K KM","Automatic","Jawa Timur","Dealer","2022 Suzuki Jimny 1.5 3 Door (1 Tone) SUV - (16 Ribu KM On...","Suzuki Jimny 1.5 A/T 3 Door Single Tone 2022 Army On Black Odometer 16 ribu (KM) On Going ...","Rp 397.000.000"
"Honda Jazz","95 - 100K KM","Automatic","Banten","Broker","2015 Honda Jazz 1.5 RS Hatchback - FREE GARANSI MESIN TRAN...","Ready Stock Honda Jazz RS AT 2015 Spesifikasi Mobil : • Merk : Honda • Tipe : Jazz RS • ...","Rp 155.000.000"
"","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Corolla Cross 1.8 Hybrid SUV - SUNROOF AT Mati...","Toyota Corolla Cross Hybrid SUNROOF AT Matic 2022 Putih Metalik * Kondisi terawat dan ...",""
